timestep,reward
355328,1.4086
355798,1.4431
356278,1.325
356778,1.4806
357297,1.5096
357789,1.4506
358293,1.4129
358786,1.4489
359280,1.4013
359770,1.4674
360274,1.5114
360746,1.5798
361282,1.5792
361767,1.4645
362246,1.5697
362767,1.4823
363279,1.523
363772,1.519
364283,1.3187
364783,1.5354
365284,1.435
365784,1.4616
366261,1.5202
366756,1.4716
367257,1.4765
367745,1.5406
368216,1.4157
368703,1.5527
369207,1.4468
369689,1.4261
370213,1.5224
370729,1.5466
371240,1.5656
371737,1.5349
372254,1.554
372729,1.4813
373213,1.4977
373708,1.4413
374206,1.5751
374694,1.5037
375200,1.5358
375677,1.5026
376190,1.4921
376690,1.5112
377193,1.4833
377663,1.4409
378143,1.4969
378637,1.4136
379155,1.5484
379654,1.4791
380171,1.5065
380671,1.4502
381178,1.5369
381685,1.6544
382200,1.478
382697,1.4354
383194,1.5361
383681,1.4631
384191,1.5605
384698,1.4876
385206,1.395
385669,1.4381
386173,1.4462
386654,1.503
387146,1.4049
387629,1.4471
388131,1.4631
388620,1.452
389128,1.4334
389638,1.3381
390140,1.3537
390632,1.5304
391132,1.5364
391609,1.501
392121,1.5566
392594,1.5741
393085,1.4989
393609,1.4692
394118,1.4679
394622,1.5816
395102,1.5096
395619,1.597
396122,1.4703
396612,1.2913
397085,1.4385
397594,1.5064
398106,1.5526
398590,1.5075
399119,1.4223
399626,1.4195
400120,1.3828
400618,1.5188
401102,1.4908
401610,1.5399
402107,1.4999
402588,1.4688
403070,1.5371
403585,1.4127
404078,1.4275
404565,1.4308
405067,1.4968
405506,1.5734
406034,1.557
406506,1.5247
406997,1.5022
407486,1.5911
407996,1.5579
408473,1.5299
408955,1.435
409416,1.3951
409920,1.3835
410408,1.4967
410896,1.5372
411394,1.5293
411903,1.3655
412367,1.4551
412827,1.5106
413333,1.3574
413819,1.5284
414313,1.4316
414792,1.5049
415288,1.4857
415787,1.4113
416292,1.4219
416781,1.4475
417273,1.4714
417767,1.443
418257,1.5128
418753,1.5127
419227,1.3753
419722,1.5299
420241,1.4598
420730,1.5255
421208,1.4494
421688,1.5197
422166,1.529
422677,1.5246
423174,1.4135
423648,1.4534
424129,1.4726
424619,1.4838
425122,1.3717
425626,1.4707
426119,1.457
426608,1.4642
427098,1.5639
427558,1.5699
428083,1.402
428567,1.4896
429036,1.5062
429525,1.4556
430037,1.4573
430557,1.4823
431047,1.536
431544,1.4607
432016,1.4458
432493,1.4939
432976,1.4139
433467,1.4317
433944,1.5051
434423,1.4099
434919,1.4139
435384,1.3794
435870,1.4348
436380,1.418
436868,1.5053
437358,1.6163
437846,1.5436
438350,1.4236
438815,1.4822
439311,1.4267
439797,1.4663
440300,1.4656
440762,1.503
441250,1.5052
441750,1.3332
442262,1.3514
442746,1.37
443233,1.3503
443703,1.4636
444177,1.4564
444670,1.4261
445166,1.4163
445667,1.4487
446168,1.3655
446664,1.5235
447146,1.5726
447647,1.3915
448116,1.4948
448628,1.537
449136,1.462
449649,1.4458
450150,1.5816
450640,1.4936
451154,1.4563
451644,1.458
452141,1.6102
452586,1.5039
453091,1.5404
453584,1.5462
454075,1.559
454558,1.5355
455032,1.5922
455548,1.4782
456036,1.4901
456532,1.4695
457035,1.5941
457549,1.6227
458064,1.5033
458563,1.5345
459069,1.397
459550,1.5247
460009,1.5369
460501,1.4642
460975,1.4755
461488,1.3739
461969,1.3998
462485,1.5355
463005,1.4815
463509,1.3463
464010,1.3701
464521,1.3392
464995,1.402
465486,1.3535
465989,1.4792
466517,1.535
467017,1.5473
467515,1.4508
468004,1.3772
468486,1.4983
468978,1.5398
469457,1.6257
469958,1.5425
470460,1.5465
470938,1.4873
471432,1.4831
471905,1.584
472384,1.5843
472888,1.5065
473379,1.4997
473869,1.3839
474327,1.3824
474810,1.4032
475292,1.4209
475788,1.4505
476288,1.533
476784,1.4538
477248,1.3996
477730,1.4043
478199,1.4615
478679,1.5796
479156,1.3689
479667,1.3787
480157,1.4677
480656,1.4909
481149,1.6287
481659,1.3978
482136,1.4511
482622,1.3803
483102,1.3684
483590,1.4843
484081,1.4973
484552,1.4394
485073,1.5326
485571,1.5177
486039,1.4605
