timestep,reward
189588,2.2031
189910,2.1776
190268,2.1957
190632,2.1196
191002,2.1685
191354,2.2644
191647,2.2057
191983,2.0301
192310,2.0826
192659,1.9248
192969,1.9657
193282,2.063
193593,1.9642
193925,1.9794
194258,1.997
194591,2.2207
194929,1.9605
195278,1.9705
195595,2.0357
195914,1.9738
196242,2.0103
196587,1.971
196903,2.1587
197251,1.9348
197582,1.921
197914,2.0927
198241,2.1841
198558,2.0253
198859,2.1691
199168,2.1114
199483,2.0951
199807,1.9018
200129,1.9599
200476,2.1144
200819,2.2032
201131,2.209
201485,2.2233
201852,2.1129
202159,1.9748
202488,2.0879
202857,2.0683
203200,2.1868
203556,2.1439
203868,1.9618
204173,1.9088
204489,2.242
204828,2.1642
205148,2.1516
205496,2.0388
205841,2.1287
206159,2.1055
206490,2.2891
206829,2.1283
207207,2.0992
207552,2.2265
207887,2.2526
208201,2.1822
208532,2.2205
208872,2.1407
209184,2.1465
209497,2.2805
209811,2.1971
210160,2.2543
210519,2.1597
210860,2.1809
211186,2.2213
211499,2.2519
211819,2.1736
212191,2.159
212518,2.2013
212839,2.2114
213183,2.1889
213492,2.1487
213838,2.2028
214182,2.166
214541,2.0867
214866,2.035
215222,2.2224
215547,2.0846
215879,2.1119
216209,2.217
216538,2.18
216899,2.1987
217183,2.083
217521,2.2474
217853,2.2123
218122,2.2369
218430,2.2052
218739,2.1677
219093,2.0577
219416,2.1242
219789,2.1635
220120,2.2001
220448,2.1567
220786,2.037
221103,2.0551
221405,2.1315
221763,2.2427
222096,2.2397
222443,2.0624
222794,2.1726
223133,2.204
223436,2.0518
223776,2.1096
224103,2.0244
224437,2.0341
224750,2.1574
225094,2.2088
225421,2.1606
225729,2.2785
226059,2.2333
226410,2.1259
226715,2.2033
227055,2.1404
227406,2.2613
227740,2.1374
228059,2.2352
228405,2.2745
228739,2.2677
229057,2.1313
229413,2.2111
229747,2.1499
230084,2.2682
230406,2.2229
230750,2.3434
231083,2.1816
231423,2.026
231749,1.812
232078,2.0245
232431,2.1535
232758,2.1685
233099,2.2689
233457,2.2083
233806,2.0825
234159,2.1769
234462,2.1871
234799,2.1464
235115,2.1479
235455,2.2404
235761,2.2235
236104,2.1877
236426,2.1715
236764,2.2793
237099,2.2586
237445,2.1217
237785,2.2123
238108,2.1949
238437,2.1072
238764,2.1039
239099,2.1518
239456,2.2292
239769,2.2245
240093,2.1427
240419,2.1949
240763,2.0949
241069,2.1899
241401,2.1043
241724,2.2527
242031,2.1499
242385,2.1805
242733,2.1859
243078,2.2085
243449,2.2535
243787,2.2706
244129,2.239
244485,2.2297
244794,2.232
245148,2.2149
245489,2.1943
245809,2.0904
246124,2.2146
246451,2.2077
246784,2.2541
247124,2.1575
247452,2.2492
247795,2.2329
248107,2.1621
248431,2.2371
248727,2.2537
249048,2.1352
249368,2.2451
249708,2.2774
250043,2.1957
250371,2.215
250710,2.1331
251064,2.2467
251385,2.2593
251680,2.2347
252022,2.1042
252333,2.2098
252648,2.2033
252976,2.1626
253312,2.3004
253645,2.1925
253948,2.2184
254274,2.1951
254596,2.1013
254943,2.2333
255273,2.1862
255608,2.2065
255903,2.2459
256216,2.0311
256570,2.2208
256874,2.1502
257210,2.2313
257542,2.1914
257898,2.2041
258249,2.1607
258610,2.1516
258929,2.2389
259281,2.1863
259603,2.2071
259942,2.2159
260292,2.1926
260623,2.1555
260964,2.1902
261281,2.1617
261618,2.2169
261945,2.2141
262298,2.0422
262655,2.2287
262975,2.2301
263278,2.2062
263630,2.2294
263942,2.0434
264253,2.176
264561,2.233
264881,2.0109
265209,2.2679
265529,2.1413
265881,2.0382
266220,1.8992
266553,1.9752
266867,1.9492
267176,1.9998
267507,2.0194
267834,1.8673
268161,2.3009
268487,2.2381
268817,1.9634
269153,2.0001
269475,1.9858
269791,2.2188
270129,1.9807
270492,1.8908
270840,1.975
271170,2.0083
271505,1.8709
271849,1.9995
272158,2.2085
272510,2.2028
272839,2.0076
273159,2.0159
273472,2.1731
273793,2.1044
274122,1.9069
274434,1.83
274787,1.9653
275118,2.0143
275438,2.0465
275773,2.2457
276149,2.2411
276514,2.2836
276843,2.2148
277136,2.1677
277422,2.1922
277750,2.1669
278101,2.163
278421,2.1747
278741,1.8905
279084,1.9039
279440,2.2669
279777,2.1883
280094,2.148
280437,2.2243
280755,2.1725
281034,1.9545
281367,1.8144
281695,1.7146
282047,1.8412
282360,1.9869
282678,1.913
283002,2.1783
283316,2.0809
283673,2.055
284024,2.0979
284367,2.1512
284675,1.743
285015,2.1166
285329,1.8474
285700,2.1204
286050,2.0054
286361,2.0695
286724,1.7318
287041,2.0761
287389,2.2127
287748,2.045
288078,2.0799
288427,2.0221
288754,2.117
289088,2.3235
289418,2.1433
289735,2.2903
290055,2.1657
290368,2.2127
290676,2.1203
291002,2.1687
291318,2.1457
291670,2.231
291989,2.1223
292301,2.2427
292595,2.275
292917,2.1415
293251,2.1566
293582,2.1906
293933,2.1701
294249,2.0827
294586,2.0476
294926,1.8937
295262,2.0486
295552,2.235
295896,2.233
296222,2.2515
296573,2.2423
296892,2.0344
297222,2.0367
297562,1.9611
297954,2.0871
298315,2.2566
298657,2.1553
298970,2.2
299305,2.1967
299642,2.2394
299962,2.1578
300302,2.1778
300597,2.2002
300939,2.025
301265,2.2129
301586,2.1437
301926,2.2094
302253,2.2584
302588,2.2339
302891,2.1638
303209,2.1812
303524,2.1666
303821,2.2612
304152,2.0853
304506,2.2686
304821,2.1167
305162,2.1167
305480,2.1719
305815,2.2005
306138,2.1716
306483,2.1934
306825,2.15
307158,2.1577
307512,2.1857
307842,2.1197
308166,2.1675
308493,1.9232
308829,2.2533
309172,2.181
309521,2.2336
309877,2.132
310221,2.0974
310586,2.1739
310923,2.2249
311239,2.2575
311578,2.3028
311937,2.1147
312262,2.1341
312591,2.0461
312927,2.2321
313272,2.1728
313602,2.1186
313906,2.2258
314286,2.1726
314634,2.1151
314984,2.2743
315353,2.0613
315694,2.2015
316063,2.079
316372,2.2738
316698,2.195
317058,2.1791
317373,2.234
317736,2.1129
318070,2.2196
318377,2.2134
318724,2.1081
319061,2.2679
319390,2.1685
319681,2.1284
320008,2.1916
320342,2.1885
320671,2.2382
321013,2.1336
321338,2.2085
321665,2.2016
321999,2.2594
322320,2.228
322679,2.1563
322975,2.2166
323305,2.1485
323638,2.213
323956,2.1378
324294,2.0227
324619,2.0217
324960,2.0192
