timestep,reward
535798,0.2059
536433,0.3195
537047,0.2298
537677,0.2689
538302,0.3747
538917,0.0798
539542,0.0912
540190,0.2865
540802,0.2226
541419,0.2354
542034,0.282
542660,0.395
543290,0.0031
543920,0.3567
544552,0.4589
545163,0.2717
545801,0.1448
546420,0.2594
547047,0.4793
547694,0.3471
548312,0.2829
548941,0.2656
549562,0.2462
550181,0.3689
550795,0.347
551435,0.4374
552050,0.2805
552679,0.2323
553299,0.2563
553921,0.1393
554547,0.3684
555172,0.2762
555810,0.2188
556453,0.3971
557099,0.397
557709,0.449
558355,0.264
558971,0.3559
559603,0.436
560231,0.368
560850,0.507
561479,0.2411
562115,0.1523
562745,0.2046
563369,0.4738
563994,0.388
564624,0.3751
565259,0.0597
565874,0.0792
566493,0.309
567119,0.3726
567759,0.4376
568387,0.4168
569008,0.3679
569651,0.3258
570254,0.2505
570879,0.4547
571514,0.2664
572161,0.3992
572787,0.2948
573423,0.3283
574064,0.3333
574702,0.2556
575332,0.1872
575970,0.379
576599,0.4361
577228,0.4754
577838,0.3871
578483,0.2755
579110,0.5443
579735,0.1198
580352,0.2912
580989,0.2436
581619,0.24
582260,0.2045
582881,0.4517
583512,0.2454
584143,0.1218
584778,0.3484
585398,0.2301
586035,0.3584
586640,0.3778
587251,0.3585
587870,0.5268
588496,0.1928
589135,0.1554
589787,0.7454
590413,0.8776
591065,0.7103
591693,0.893
592333,0.6564
592968,0.7181
593586,0.6798
594215,0.7518
594852,0.1727
595471,0.1568
596101,0.1767
596718,0.175
597352,0.448
597985,0.4904
598611,0.2875
599244,0.2194
599870,0.2018
600499,0.4546
601125,0.2583
601738,0.1325
602370,0.1791
602972,0.3348
603607,0.2069
604239,0.2393
604862,0.2413
605480,0.0644
606104,0.3473
606727,0.1933
607350,0.3464
607976,0.0586
608592,0.4368
609213,0.247
609820,0.4516
610436,0.3121
611065,0.4162
611667,0.1677
612299,0.2172
612927,0.3068
613556,-0.0905
614155,0.3586
